"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","HEAD 方法（实测未自动支持）","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","20","id 含空格","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","4","未传 body","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","字段类型错误 {'field': 'device_name', 'value': None}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","22","三态查询：offline","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","3","非 application/json 发送：raw","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","白名单外字符串  online ","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","错路径","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","16","删除后再查","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","4","错误方法 PUT","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","15","中文 id","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","3","错误方法 PUT","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","3","错路径 /device/{id}/xxx","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","3","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","26","状态流转 {source}→{target}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","非 application/json 发送：text_plain","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","6","特殊 id 查无此设备：{'kind': 'overlong', 'repeat': 'z', 'length': 200}","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","4","特殊 id 查无此设备：{'kind': 'sqli', 'id': ""' OR '1'='1""}","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","3","白名单外字符串 1","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","携带 query 不影响结果","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","4","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","空路径 DELETE /device/","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","3","非法状态 unknown","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","15","删除后从列表消失","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","4","顶层 body 为数组","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","8","带 query string 不影响结果","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","71","多设备互不干扰","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceLifecycle","test_device_e2e","",""
"","4","非法状态 ","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","顶层 body 为数组","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","未知根路径 GET /","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestContract","test_device_e2e","",""
"","25","状态流转 {source}→{target}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","12","重复删除","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","29","删除后同 id 可重新注册，状态重置为 offline","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","5","路径大小写 / 双斜杠：{'path': '/device/LIST', 'detail': '设备不存在'}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","12","多传未知字段被忽略","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","重复注册","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","status 类型错误扩展 ['online']","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","未传 body","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","携带 body 不影响结果","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","3","集合地址 DELETE /device","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","3","白名单外字符串    ","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","7","注册成功","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","status 类型错误扩展 {'a': 1}","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","4","body 不是 JSON 对象","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","5","删除不存在","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","10","连续多次恒定 500","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","25","状态流转 {source}→{target}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","38","多台设备全部可查","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","4","status 类型错误：None","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","5","查询已注册设备","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","4","create_time 时间格式","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","3","路径大小写 / 双斜杠：{'path': '//device/list', 'detail': 'Not Found'}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","4","GET 打注册地址被动态路由接管","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","模拟内部错误 500","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","5","尾斜杠 307 重定向","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","4","字段类型错误 {'field': 'device_id', 'value': ['a']}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","非法状态 Offline","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","11","携带 query 参数删除","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","2","尾斜杠 307 重定向","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","25","三态查询：online","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","3","非 application/json 发送：text_plain","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","非 application/json 发送：raw","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","status 类型错误：1","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","2","错路径","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","3","PATCH 方法","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","19","id 含点号","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","2","HEAD 方法","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","18","改为合法状态：offline","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","56","三态设备齐全","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","53","设备完整生命周期","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceLifecycle","test_device_e2e","",""
"","3","PATCH 方法","tests","Sat Sep 19 20:37:42 CST 2026","passed","Sat Sep 19 20:37:42 CST 2026","TestDeviceStatus","test_device_status","",""
"","5","未定义 query 参数被忽略","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceList","test_device_list","",""
"","3","PATCH 方法","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","4","错误方法 POST","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","16","405 响应带 Allow 头","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestContract","test_device_e2e","",""
"","5","字段类型错误 {'field': 'device_name', 'value': 123}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","23","device_id 长度边界 {'length': 64}","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDev","test_device_dev","",""
"","9","删除后从列表消失","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","4","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","3","错误方法 POST","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceMock","test_device_mock","",""
"","3","非法状态 busy","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","25","状态流转 {source}→{target}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","3","错误方法 PATCH","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","5","超长 id（200 字符）","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","4","缺字段 / 空串 / 超长 → 422","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
"","14","改为合法状态：fault","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceStatus","test_device_status","",""
"","11","删除成功后再查为 404","tests","Sat Sep 19 20:37:40 CST 2026","passed","Sat Sep 19 20:37:40 CST 2026","TestDeviceDelete","test_device_delete","",""
"","13","合法长度边界 {'field': 'device_type', 'length': 1}","tests","Sat Sep 19 20:37:41 CST 2026","passed","Sat Sep 19 20:37:41 CST 2026","TestDeviceRegister","test_device_register","",""
